nama,kategori,latitude,longitude,geometry
Kartika One by Prasanthi,Hotel,-6.344386,106.8338057,POINT (106.8338057 -6.344386)
PT. Antam Resourcindo,Gedung Perkantoran,-6.3023973,106.8341027,POINT (106.8341027 -6.3023973)
PHE Tower,Gedung Perkantoran,-6.2999151,106.8329412,POINT (106.8329412 -6.2999151)
EXPROOFSTORE.ID,Gedung Perkantoran,-6.2993798,106.8319462,POINT (106.8319462 -6.2993798)
undefined,Gedung Perkantoran,-6.285443,106.8336224,POINT (106.8336224 -6.285443)
Kedutaan besar Somalia,Gedung Perkantoran,-6.2419803,106.8364013,POINT (106.8364013 -6.2419803)
Smesco Indonesia,Gedung Perkantoran,-6.2417867,106.8362374,POINT (106.8362374 -6.2417867)
Mercure Jakarta Gator Subroto,Hotel,-6.2396116,106.8307322,POINT (106.8307322 -6.2396116)
Graha Simatupang,Gedung Perkantoran,-6.29664,106.8290098,POINT (106.8290098 -6.29664)
DataComm,Gedung Perkantoran,-6.2404089,106.8302944,POINT (106.8302944 -6.2404089)
undefined,Gedung Perkantoran,-6.2403358,106.8270033,POINT (106.8270033 -6.2403358)
undefined,Hotel,-6.2351349,106.8302629,POINT (106.8302629 -6.2351349)
Puri Denpasar Hotel Jakarta Puri Denpasar Hotel,Hotel,-6.2349946,106.8267723,POINT (106.8267723 -6.2349946)
ARTOTEL Casa Kuningan,Hotel,-6.234675,106.8269002,POINT (106.8269002 -6.234675)
undefined,Gedung Perkantoran,-6.2325534,106.8295096,POINT (106.8295096 -6.2325534)
undefined,Gedung Perkantoran,-6.2324703,106.8290791,POINT (106.8290791 -6.2324703)
undefined,Gedung Perkantoran,-6.2324683,106.8294063,POINT (106.8294063 -6.2324683)
Sekretariat RW 07 Ragunan,Gedung Perkantoran,-6.3043274,106.8230168,POINT (106.8230168 -6.3043274)
childFund Indonesia,Gedung Perkantoran,-6.291521,106.8231579,POINT (106.8231579 -6.291521)
undefined,Gedung Perkantoran,-6.2686858,106.8238267,POINT (106.8238267 -6.2686858)
undefined,Gedung Perkantoran,-6.2686842,106.8237264,POINT (106.8237264 -6.2686842)
Virtue Post,Gedung Perkantoran,-6.2626728,106.8250101,POINT (106.8250101 -6.2626728)
JNE Mampang,Gedung Perkantoran,-6.2477886,106.8261428,POINT (106.8261428 -6.2477886)
Bluebird Ofiice Park,Gedung Perkantoran,-6.2461433,106.8257315,POINT (106.8257315 -6.2461433)
vads office,Gedung Perkantoran,-6.2413901,106.8252629,POINT (106.8252629 -6.2413901)
Kedutaan besar Venezuela,Gedung Perkantoran,-6.2349535,106.8233733,POINT (106.8233733 -6.2349535)
Telkomsel,Gedung Perkantoran,-6.2345131,106.8227794,POINT (106.8227794 -6.2345131)
Kantor Konsuler Kedutaan Besar Korea Selatan,Gedung Perkantoran,-6.2392918,106.8333997,POINT (106.8333997 -6.2392918)
undefined,Gedung Perkantoran,-6.2391811,106.8320521,POINT (106.8320521 -6.2391811)
Graha Irama,Gedung Perkantoran,-6.2335398,106.8316466,POINT (106.8316466 -6.2335398)
undefined,Gedung Perkantoran,-6.2328643,106.8311873,POINT (106.8311873 -6.2328643)
undefined,Gedung Perkantoran,-6.2327315,106.8313101,POINT (106.8313101 -6.2327315)
undefined,Gedung Perkantoran,-6.2283507,106.8326829,POINT (106.8326829 -6.2283507)
Menara Palma,Gedung Perkantoran,-6.2269513,106.8334274,POINT (106.8334274 -6.2269513)
undefined,Gedung Perkantoran,-6.226133,106.831556,POINT (106.831556 -6.226133)
Kedutaan Besar Uni Emirat Arab,Gedung Perkantoran,-6.2259324,106.8308548,POINT (106.8308548 -6.2259324)
undefined,Hotel,-6.2251292,106.8311718,POINT (106.8311718 -6.2251292)
Otoritas Jasa Keuangan,Gedung Perkantoran,-6.2344913,106.8224466,POINT (106.8224466 -6.2344913)
SOS Medika,Gedung Perkantoran,-6.2303497,106.8259347,POINT (106.8259347 -6.2303497)
ZTE,Gedung Perkantoran,-6.2302463,106.8263021,POINT (106.8263021 -6.2302463)
Honeywell,Gedung Perkantoran,-6.2302376,106.8262448,POINT (106.8262448 -6.2302376)
Bahar,Gedung Perkantoran,-6.2302366,106.8261942,POINT (106.8261942 -6.2302366)
undefined,Gedung Perkantoran,-6.2292068,106.8250232,POINT (106.8250232 -6.2292068)
Kedutaan Besar Mexico,Gedung Perkantoran,-6.2291995,106.8251574,POINT (106.8251574 -6.2291995)
undefined,Gedung Perkantoran,-6.2279226,106.8251758,POINT (106.8251758 -6.2279226)
undefined,Gedung Perkantoran,-6.2278223,106.8252346,POINT (106.8252346 -6.2278223)
undefined,Gedung Perkantoran,-6.227806,106.8250785,POINT (106.8250785 -6.227806)
undefined,Gedung Perkantoran,-6.2322277,106.8301122,POINT (106.8301122 -6.2322277)
undefined,Gedung Perkantoran,-6.2321752,106.8303071,POINT (106.8303071 -6.2321752)
undefined,Gedung Perkantoran,-6.2312881,106.8279894,POINT (106.8279894 -6.2312881)
China Southern Airlines,Gedung Perkantoran,-6.2302625,106.8263548,POINT (106.8263548 -6.2302625)
GP Mega Kuningan Hotel,Hotel,-6.2284262,106.8282544,POINT (106.8282544 -6.2284262)
Kedutaan Besar Swedia,Gedung Perkantoran,-6.227451,106.826329,POINT (106.826329 -6.227451)
Kedutaan Besar Finlandia,Gedung Perkantoran,-6.2274423,106.8265491,POINT (106.8265491 -6.2274423)
Kedutaan Besar Peru,Gedung Perkantoran,-6.2273317,106.8265529,POINT (106.8265529 -6.2273317)
Kedutaan Besar Denmark,Gedung Perkantoran,-6.227286,106.8263107,POINT (106.8263107 -6.227286)
Kedutaan Besar Norwegia,Gedung Perkantoran,-6.2272384,106.8265321,POINT (106.8265321 -6.2272384)
undefined,Gedung Perkantoran,-6.2269894,106.8263981,POINT (106.8263981 -6.2269894)
undefined,Gedung Perkantoran,-6.2269738,106.8265226,POINT (106.8265226 -6.2269738)
undefined,Gedung Perkantoran,-6.2269348,106.8263702,POINT (106.8263702 -6.2269348)
undefined,Gedung Perkantoran,-6.2269133,106.8265248,POINT (106.8265248 -6.2269133)
undefined,Gedung Perkantoran,-6.2257824,106.8302383,POINT (106.8302383 -6.2257824)
Amaris Hotel Dr. Satrio Kuningan,Hotel,-6.225574,106.8296474,POINT (106.8296474 -6.225574)
undefined,Hotel,-6.225529,106.8296498,POINT (106.8296498 -6.225529)
undefined,Gedung Perkantoran,-6.2253914,106.8282971,POINT (106.8282971 -6.2253914)
undefined,Gedung Perkantoran,-6.2253785,106.8282328,POINT (106.8282328 -6.2253785)
undefined,Gedung Perkantoran,-6.2253484,106.8281488,POINT (106.8281488 -6.2253484)
Kedutaan besar Uruguay,Gedung Perkantoran,-6.2275564,106.8256181,POINT (106.8256181 -6.2275564)
GoWork,Gedung Perkantoran,-6.2269428,106.826253,POINT (106.826253 -6.2269428)
